update cell_num task.0 task.1 task.2 task.3 task.4 task.5 task.6 task.7 task.8 
76 0 1 0 0 2 0 2 0 0 0 
76 1 1 0 0 2 0 2 0 0 0 
76 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 4 0 1 0 2 0 2 0 0 0 
76 5 1 0 0 0 2 0 2 0 0 
76 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 9 1 0 0 0 2 0 2 0 0 
76 10 1 0 0 2 0 2 0 0 0 
76 11 0 1 0 2 0 2 0 0 0 
76 12 1 0 0 0 2 0 2 0 0 
76 13 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 14 1 0 0 0 2 0 2 0 0 
76 15 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 16 1 0 0 0 2 0 2 0 0 
76 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 18 0 1 0 2 0 2 0 0 0 
76 19 0 1 0 2 0 2 0 0 0 
76 20 0 1 0 2 0 2 0 0 0 
76 21 0 1 0 2 0 2 0 0 0 
76 22 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 23 0 1 0 2 0 2 0 0 0 
76 24 0 1 0 2 0 2 0 0 0 
76 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 26 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 27 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 28 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 29 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 31 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 32 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 33 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 35 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 36 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 37 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 38 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 39 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 40 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 41 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 42 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 43 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 44 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 45 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 46 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 47 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 48 -1 -1 -1 -1 -1 -1 -1 -1 -1 
76 49 -1 -1 -1 -1 -1 -1 -1 -1 -1 
