# Sat Feb 18 01:08:21 2017
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 1 0 1 0 1 
200 1 0 1 0 1 
300 1 0 1 0 1 
400 1 0 1 0 1 
500 1 0 1 0 1 
600 1 0 1 0 1 
700 2 0.208415 2 0 0.967165 
800 2 0.135795 2 0 0.980999 
900 2 0.135912 2 0 0.980978 
1000 2 0.135912 2 0 0.980978 
1100 2 0.135912 2 0 0.980978 
1200 2 0.135912 2 0 0.980978 
1300 2 0.22078 2 0 0.964602 
1400 2 0.308585 2 0 0.944679 
1500 2 0.299827 2 0 0.946803 
1600 2 0.299926 2 0 0.946779 
1700 2 0.299926 2 0 0.946779 
1800 2 0.299926 2 0 0.946779 
1900 2 0.30102 2 0 0.946515 
2000 2 0.614006 2 0 0.848329 
2100 2 0.306585 2 0 0.945166 
2200 2 0.301612 2 0 0.946372 
2300 2 0.30117 2 0 0.946479 
2400 2 0.30117 2 0 0.946479 
2500 2 0.304556 2 0 0.94566 
2600 2 0.362187 2 0 0.930998 
2700 2 0.456963 2 0 0.90376 
2800 2 0.358375 2 0 0.932011 
2900 2 0.357662 2 0 0.932199 
3000 2 0.358765 2 0 0.931908 
3100 2 0.361765 2 0 0.931111 
3200 2 0.362202 2 0 0.930994 
3300 2 0.505681 2 0 0.88808 
3400 2 0.275333 2 0 0.95258 
3500 2 0.274157 2 0 0.952852 
3600 2 0.274157 2 0 0.952852 
3700 2 0.271576 2 0 0.953445 
3800 2 0.273229 2 0 0.953066 
3900 2 0.294469 2 0 0.948087 
4000 2 0.367356 2 0 0.929616 
4100 2 0.27374 2 0 0.952948 
4200 2 0.27902 2 0 0.951726 
4300 2 0.281158 2 0 0.951228 
4400 2 0.282475 2 0 0.95092 
4500 2 0.282532 2 0 0.950907 
4600 2 0.361313 2 0 0.931231 
4700 3 0.349022 3 0 0.940267 
4800 3 0.30732 3 0 0.951668 
4900 3 0.306278 3 0 0.951933 
5000 3 0.312717 3 0 0.950525 
5100 3 0.309503 3 0 0.951248 
5200 3 0.316254 3 0 0.94973 
5300 3 0.442558 3 0 0.920771 
5400 3 0.356838 3 0 0.940368 
5500 3 0.344805 3 0 0.94268 
5600 3 0.345803 3 0 0.942456 
5700 3 0.348975 3 0 0.941708 
5800 3 0.359353 3 0 0.939082 
5900 3 0.446815 3 0 0.918089 
6000 3 0.428048 3 0 0.919523 
6100 3 0.379955 3 0 0.933798 
6200 3 0.376557 3 0 0.934659 
6300 3 0.373477 3 0 0.935461 
6400 3 0.374494 3 0 0.9352 
6500 3 0.366203 3 0 0.937755 
6600 3 0.46187 3 0.00153286 0.908795 
6700 3 0.382248 3 0 0.94039 
6800 3 0.382659 3 0 0.939394 
6900 3 0.382693 3 0 0.939387 
7000 3 0.387685 3 0 0.938276 
7100 3 0.386095 3 0 0.939011 
7200 3 0.383052 3 0 0.935437 
7300 3 0.344776 3 0 0.947564 
7400 3 0.264256 3 0 0.96661 
7500 3 0.263956 3 0 0.966659 
7600 3 0.280777 3 0 0.963235 
7700 3 0.289039 3 0 0.961727 
7800 3 0.299686 3 0 0.959755 
7900 4 0.398618 4 0.00153757 0.931578 
8000 4 0.42249 4 0.00336564 0.947765 
8100 4 0.401048 4 0.0030581 0.950581 
8200 3 0.374635 3 0 0.946938 
8300 4 0.438375 4 0.0061297 0.950349 
8400 4 0.447911 4 0.0061237 0.947949 
8500 4 0.503324 4 0.00708516 0.938784 
8600 4 0.577425 4 0.00412726 0.919518 
8700 4 0.539471 4 0.00611845 0.938693 
8800 4 0.548945 4 0.0062282 0.936971 
8900 4 0.561883 4 0.00625078 0.933617 
9000 4 0.587548 4 0.0121389 0.94234 
9100 4 0.589545 4 0.0127616 0.94487 
9200 4 0.671597 4 0.0190042 0.924363 
9300 4 0.530005 4 0.00747321 0.94938 
9400 4 0.528709 4 0.018162 0.972031 
9500 4 0.536696 4 0.0181028 0.969949 
9600 4 0.541996 4 0.0157248 0.962521 
9700 4 0.60385 4 0.0259459 0.971652 
9800 4 0.559587 4 0.0245201 0.968194 
9900 4 0.582476 4 0.0253293 0.969267 
10000 4 0.360958 4 0.00419154 0.967992 
10100 4 0.442615 4 0.0206417 0.988087 
10200 4 0.426993 4 0.0177117 0.985004 
10300 4 0.408318 4 0.0150877 0.982924 
10400 4 0.454233 4 0.0196953 0.984392 
10500 4 0.521368 4 0.0284923 0.980625 
10600 4 0.587503 4 0.0245339 0.976447 
10700 4 0.504409 4 0.0114859 0.961673 
10800 4 0.610175 4 0.0327248 0.983925 
10900 4 0.601312 4 0.0328154 0.986433 
11000 4 0.608971 4 0.0314443 0.982425 
11100 4 0.608849 4 0.0300418 0.977907 
11200 4 0.704567 4 0.0419322 0.984737 
11300 4 0.579859 4 0.0270051 0.986767 
11400 4 0.505142 4 0.0143281 0.972826 
11500 4 0.596854 4 0.0349225 0.996186 
11600 4 0.610975 4 0.0364742 0.996717 
11700 4 0.639326 4 0.0349333 0.9896 
11800 4 0.579759 4 0.03826 0.993332 
11900 4 0.697595 4 0.0479386 1.00751 
12000 4 0.584918 4 0.0258264 0.985666 
12100 4 0.658304 4 0.0411096 1.00337 
12200 4 0.749544 4 0.0630199 1.02521 
12300 4 0.783419 4 0.0663306 1.02534 
12400 4 0.740449 4 0.0585393 1.01809 
12500 4 0.761904 4 0.0580502 1.02202 
12600 4 0.836723 4 0.0694708 1.03704 
12700 4 0.720414 4 0.0434783 1.01247 
12800 4 0.807446 4 0.0630424 1.03206 
12900 4 0.873225 4 0.0831178 1.05147 
13000 4 0.879754 4 0.0823266 1.0492 
13100 4 0.924957 4 0.0929767 1.04391 
13200 4 0.885174 4 0.0646743 1.0072 
13300 4 0.87708 4 0.0750217 1.03416 
13400 4 0.81446 4 0.0637339 1.02376 
13500 4 0.898034 4 0.0870541 1.04536 
13600 4 0.918807 4 0.0943559 1.0499 
