# Avida deme replication data
# Sat Feb 18 01:08:21 2017
#  1: Update [update]
#  2: Number of deme replications [numrepl]
#  3: Mean deme gestation time [gesttime]
#  4: Mean number of births within replicated demes [numbirths]
#  5: Mean heritable merit of replicated demes [merit]
#  6: Mean generation of replicated demes [generation]
#  7: Mean density of replicated demes [density]

0 0 0 0 0 0 0 
100 0 0 0 0 0 0 
200 0 0 0 0 0 0 
300 0 0 0 0 0 0 
400 0 0 0 0 0 0 
500 0 0 0 0 0 0 
600 0 0 0 0 0 0 
700 279 656.505 822.674 1 0 1 
800 0 0 0 0 0 0 
900 0 0 0 0 0 0 
1000 0 0 0 0 0 0 
1100 0 0 0 0 0 0 
1200 0 0 0 0 0 0 
1300 53 642.113 801.321 1 1 1 
1400 204 663.431 832.877 1 1 1 
1500 0 0 0 0 0 0 
1600 0 0 0 0 0 0 
1700 0 0 0 0 0 0 
1800 0 0 0 0 0 0 
1900 1 629 786 1 2 1 
2000 186 655.538 822.113 1 2 1 
2100 51 671.941 852.196 1 2 1 
2200 0 0 0 0 0 0 
2300 0 0 0 0 0 0 
2400 0 0 0 0 0 0 
2500 2 572 709 1 3 1 
2600 29 647.483 800.862 1 3 1 
2700 210 659.667 822.657 1 3 1 
2800 6 695 739.5 1 3 0.986667 
2900 0 0 0 0 0 0 
3000 0 0 0 0 0 0 
3100 1 581 716 1 4 1 
3200 2 587.5 721 1 4 1 
3300 134 653.985 800.052 1 4 1 
3400 94 663.16 808.298 1 4 1 
3500 1 681 842 1 4 1 
3600 0 0 0 0 0 0 
3700 1 579 701 1 5 1 
3800 2 587 712.5 1 5 1 
3900 15 633.067 768.467 1 5 1 
4000 194 657.309 814.046 1 5 1 
4100 24 674.042 807.458 1 5 0.998333 
4200 0 0 0 0 0 0 
4300 2 566 700 1 6 1 
4400 3 581 670.333 1 6 1 
4500 4 617.75 766 1 6 1 
4600 88 651.659 807.148 1 6 1 
4700 137 660.679 825.46 1 6 1 
4800 1 641 801 1 6 1 
4900 3 576.333 716.333 1 7 1 
5000 5 579.4 662.8 1 7 1 
5100 3 620 773.333 1 7 1 
5200 6 628.167 746.167 1 7 1 
5300 167 654.395 806.976 1 7 1 
5400 56 663.018 822.036 1 7.01786 1 
5500 2 559 690.5 1 8 1 
5600 2 748.5 398 1 7.5 0.94 
5700 2 614.5 758.5 1 8 1 
5800 4 622.5 766.5 1 8 1 
5900 75 645.24 805.28 1 8 1 
6000 138 655.42 821.993 1 8.02174 1 
6100 11 670.818 770.727 1 8.09091 0.992727 
6200 0 0 0 0 0 0 
6300 0 0 0 0 0 0 
6400 4 623.5 783.75 1 9 1 
6500 16 626.562 784.375 1 9 1 
6600 150 651.647 810.987 1 9.03333 0.9984 
6700 61 659.033 818.508 1 9.03279 1 
6800 0 0 0 0 0 0 
6900 0 0 0 0 0 0 
7000 5 608.2 768.4 1 10 1 
7100 9 585.556 735.333 1 10.4444 1 
7200 67 642.045 806.134 1 10.0597 1 
7300 131 658.405 829.198 1 10 0.998168 
7400 13 663.692 851.385 1 10 1 
7500 0 0 0 0 0 0 
7600 6 593.833 750.5 1 11 1 
7700 11 584.818 741.909 1 11.3636 1 
7800 20 620 771.95 1 11.15 1 
7900 114 653.053 821.904 1 11 1 
8000 79 660.038 827.241 1 11 0.997468 
8100 2 560 702.5 1 12 1 
8200 5 562 699.2 1 12 1 
8300 9 576.667 727.778 1 12.4444 1 
8400 7 573.857 708.714 1 12.5714 1 
8500 36 650.889 816.111 1 12 1 
8600 141 651.532 826.142 1 12.0142 1 
8700 26 653.923 805.808 1 12.1154 0.995385 
8800 9 616 621.667 1 13.2222 0.946667 
8900 12 580.417 722.667 1 13.4167 1 
9000 3 449.667 501.667 1 13.6667 1 
9100 12 632.667 785.083 1 13 1 
9200 105 647.533 819.362 1 13 1 
9300 90 644.178 808.756 1 13.1111 1 
9400 8 591.875 673.375 1 14.125 1 
9500 15 615.467 617.133 1 14.1333 0.968 
9600 2 477.5 528 1 14 1 
9700 9 474.444 561.667 1 15.1111 1 
